component,category,css_variable,fallback_value,raw_fallback
nys-alert,private,--_nys-alert-border-width,--nys-border-width-lg,4px
nys-alert,private,--_nys-alert-border-radius,--nys-radius-md,4px
nys-alert,private,--_nys-alert-hover-border-radius,--nys-radius-sm,2px
nys-alert,private,--_nys-alert-text-color,--nys-color-text,var(--nys-color-neutral-900
nys-alert,private,--_nys-alert-link-color,--nys-color-link,var(--nys-color-blue-600
nys-alert,private,--_nys-alert-link-hover-color,--nys-color-link-strong,var(--nys-color-blue-700
nys-alert,private,--_nys-alert-link-active-color,--nys-color-link-strongest,var(--nys-color-blue-800
nys-alert,private,--_nys-alert-spacing,--nys-space-250,20px
nys-alert,private,--_nys-alert-font-family,--nys-font-family-ui,"var(
        --nys-font-family-sans"
nys-alert,private,--_nys-alert-font-size,--nys-font-size-ui-md,16px
nys-alert,private,--_nys-alert-lineheight,--nys-font-lineheight-ui-md,24px
nys-alert,private,--_nys-alert-letterspacing,--nys-font-letterspacing-ui-md,var(--nys-font-letterspacing-400
nys-alert,private,--_nys-alert-font-weight-regular,--nys-font-weight-regular,400
nys-alert,private,--_nys-alert-font-weight-semibold,--nys-font-weight-semibold,600
nys-alert,private,--_nys-alert-color-border-left,--nys-color-base,var(--nys-color-neutral-600
nys-alert,private,--_nys-alert-color-bg,--nys-color-base-weak,var(--nys-color-neutral-10
nys-alert,private,--_nys-alert-gap-space-150,--nys-space-150,12px
nys-alert,private,--_nys-alert-gap-space-50,--nys-space-50,4px
nys-alert,private,--_nys-alert-color-border-left,--nys-color-info,var(--nys-color-blue-600
nys-alert,private,--_nys-alert-color-bg,--nys-color-info-weak,var(--nys-color-blue-50
nys-alert,private,--_nys-alert-color-border-left,--nys-color-success,var(--nys-color-green-600
nys-alert,private,--_nys-alert-color-bg,--nys-color-success-weak,var(--nys-color-green-50
nys-alert,private,--_nys-alert-color-border-left,--nys-color-warning,var(--nys-color-yellow-400
nys-alert,private,--_nys-alert-color-bg,--nys-color-warning-weak,var(--nys-color-yellow-50
nys-alert,private,--_nys-alert-color-border-left,--nys-color-danger,var(--nys-color-red-600
nys-alert,private,--_nys-alert-color-bg,--nys-color-danger-weak,var(--nys-color-red-50
nys-alert,private,--_nys-alert-color-border-left,--nys-color-emergency,var(--nys-color-red-800
nys-alert,private,--_nys-alert-color-bg,--nys-color-emergency,var(--nys-color-red-800
nys-alert,private,--_nys-alert-text-color,--nys-color-text-reverse,var(--nys-color-white
nys-alert,private,--_nys-alert-link-color,--nys-color-link-reverse-neutral,var(--nys-color-white
nys-alert,private,--_nys-alert-link-hover-color,--nys-color-link-reverse-neutral,var(--nys-color-white
nys-alert,private,--_nys-alert-link-active-color,--nys-color-link-reverse-neutral,var(--nys-color-white
nys-avatar,private,--_nys-avatar-shape,--nys-radius-round,1776px
nys-avatar,private,--_nys-avatar-border,--nys-font-size-6xl,36px
nys-avatar,private,--_nys-avatar-size,--nys-font-size-6xl,36px
nys-avatar,private,--_nys-avatar-shape,--nys-radius-xs,var(--nys-space-1px
nys-avatar,private,--_nys-avatar-shape,--nys-radius-md,var(--nys-space-50
nys-avatar,private,--_nys-avatar-shape,--nys-radius-round,1776px
nys-backtotop,private,--_nys-button-radius-left,--nys-radius-round,1776px
nys-backtotop,private,--_nys-button-radius-right,--nys-radius-round,1776px
nys-backtotop,private,--_nys-button-padding-y,--nys-space-100,8px
nys-backtotop,private,--_nys-button-padding-x,--nys-space-200,16px
nys-button,private,--_nys-button-width,,
nys-button,private,--_nys-button-height,--nys-size-600,48px
nys-button,private,--_nys-button-radius-left,--nys-radius-xl,12px
nys-button,private,--_nys-button-radius-right,--nys-radius-xl,12px
nys-button,private,--_nys-button-padding-y,--nys-space-150,12px
nys-button,private,--_nys-button-padding-x,--nys-space-250,20px
nys-button,private,--_nys-button-gap,--nys-space-100,8px
nys-button,private,--_nys-button-width-border,--nys-border-width-md,2px
nys-button,private,--_nys-button-width-focus,--nys-border-width-md,2px
nys-button,private,--_nys-button-offset-focus,--nys-space-2px,2px
nys-button,private,--_nys-button-color-focus,--nys-color-focus,#004dd1
nys-button,private,--_nys-button-color-bg,--nys-color-theme,#154973
nys-button,private,--_nys-button-color-text,--nys-color-text-reverse,#ffffff
nys-button,private,--_nys-button-color-border,--nys-color-theme,#154973
nys-button,private,--_nys-button-color-bg-hover,--nys-color-theme-strong,#0e324f
nys-button,private,--_nys-button-color-text-hover,--nys-color-text-reverse,#ffffff
nys-button,private,--_nys-button-color-border-hover,--nys-color-theme-strong,#0e324f
nys-button,private,--_nys-button-color-bg-active,--nys-color-theme-stronger,#081b2b
nys-button,private,--_nys-button-color-text-active,--nys-color-text-reverse,#ffffff
nys-button,private,--_nys-button-color-border-active,--nys-color-theme-stronger,#081b2b
nys-button,private,--_nys-button-color-bg-disabled,--nys-color-neutral-10,#f6f6f6
nys-button,private,--_nys-button-color-text-disabled,--nys-color-text-disabled,#bec0c1
nys-button,private,--_nys-button-color-border-disabled,--nys-color-neutral-10,#f6f6f6
nys-button,private,--_nys-button-font-size,--nys-font-size-ui-md,16px
